Campaign,Ad Group,Keyword,Criterion Type,Status
"BDS | Search | Restaurants | BG",Restaurant Website,изработка на сайт за ресторант,Exact,Enabled
"BDS | Search | Restaurants | BG",,кариера,Negative Phrase,
"BDS | Search | Restaurants | BG",,заплата,Negative Phrase,
"BDS | Search | Restaurants | BG",,заплати,Negative Phrase,
"BDS | Search | Restaurants | BG",,salary,Negative Phrase,
"BDS | Search | Restaurants | BG",,стаж,Negative Phrase,
"BDS | Search | Restaurants | BG",,търси се,Negative Phrase,
"BDS | Search | Restaurants | BG",,template,Negative Phrase,
"BDS | Search | Restaurants | BG",,templates,Negative Phrase,
"BDS | Search | Restaurants | BG",,шаблон,Negative Phrase,
"BDS | Search | Restaurants | BG",,шаблони,Negative Phrase,
"BDS | Search | Restaurants | BG",,theme,Negative Phrase,
"BDS | Search | Restaurants | BG",,themes,Negative Phrase,
"BDS | Search | Restaurants | BG",,тема за сайт,Negative Phrase,
"BDS | Search | Restaurants | BG",,plugin,Negative Phrase,
"BDS | Search | Restaurants | BG",,плъгин,Negative Phrase,
"BDS | Search | Restaurants | BG",,download,Negative Phrase,
"BDS | Search | Restaurants | BG",,изтегляне,Negative Phrase,
"BDS | Search | Restaurants | BG",,свали,Negative Phrase,
"BDS | Search | Restaurants | BG",,скачать,Negative Phrase,
"BDS | Search | Restaurants | BG",,crack,Negative Phrase,
"BDS | Search | Restaurants | BG",,torrent,Negative Phrase,
"BDS | Search | Restaurants | BG",,близо до мен,Negative Phrase,
"BDS | Search | Restaurants | BG",,около мен,Negative Phrase,
"BDS | Search | Restaurants | BG",,най добър ресторант,Negative Phrase,
"BDS | Search | Restaurants | BG",,най добри ресторанти,Negative Phrase,
"BDS | Search | Restaurants | BG",,отзиви,Negative Phrase,
"BDS | Search | Restaurants | BG",,къде да ядем,Negative Phrase,
"BDS | Search | Restaurants | BG",,поръчай храна,Negative Phrase,
"BDS | Search | Restaurants | BG",,храна за вкъщи,Negative Phrase,
"BDS | Search | Restaurants | BG",,работно време на,Negative Phrase,
"BDS | Search | Restaurants | BG",,меню,Negative Exact,
"BDS | Search | Restaurants | BG",,храна,Negative Exact,
"BDS | Search | Restaurants | BG",,ресторант,Negative Exact,
"BDS | Search | Restaurants | BG",,ресторанти,Negative Exact,
"BDS | Search | Restaurants | BG",,пица,Negative Exact,
"BDS | Search | Restaurants | BG",,pos система,Negative Phrase,
"BDS | Search | Restaurants | BG",,pos терминал,Negative Phrase,
"BDS | Search | Restaurants | BG",,pos софтуер,Negative Phrase,
"BDS | Search | Restaurants | BG",,pos хардуер,Negative Phrase,
"BDS | Search | Restaurants | BG",,касов апарат,Negative Phrase,
"BDS | Search | Restaurants | BG",,касова система,Negative Phrase,
"BDS | Search | Restaurants | BG",,касов принтер,Negative Phrase,
"BDS | Search | Restaurants | BG",,фискален принтер,Negative Phrase,
"BDS | Search | Restaurants | BG",,фискално устройство,Negative Phrase,
"BDS | Search | Restaurants | BG",,складов софтуер,Negative Phrase,
"BDS | Search | Restaurants | BG",,управление на склад,Negative Phrase,
"BDS | Search | Restaurants | BG",,счетоводен софтуер,Negative Phrase,
"BDS | Search | Restaurants | BG",,счетоводна програма,Negative Phrase,
"BDS | Search | Restaurants | BG",,счетоводство,Negative Phrase,
"BDS | Search | Restaurants | BG",,erp система,Negative Phrase,
"BDS | Search | Restaurants | BG",,pos,Negative Exact,
"BDS | Search | Restaurants | BG",,erp,Negative Exact,
"BDS | Search | Restaurants | BG",,софтуер за ресторант,Negative Exact,
"BDS | Search | Restaurants | BG",,програма за ресторант,Negative Exact,
"BDS | Search | Restaurants | BG",,ресторантски софтуер,Negative Exact,
"BDS | Search | Restaurants | BG",,таблет за ресторант,Negative Phrase,
"BDS | Search | Restaurants | BG",,таблет за поръчки,Negative Phrase,
"BDS | Search | Restaurants | BG",,принтер за кухня,Negative Phrase,
"BDS | Search | Restaurants | BG",,кухненски принтер,Negative Phrase,
"BDS | Search | Restaurants | BG",,хардуер за ресторант,Negative Phrase,
"BDS | Search | Restaurants | BG",,евтин хостинг,Negative Phrase,
"BDS | Search | Restaurants | BG",,wordpress хостинг,Negative Phrase,
"BDS | Search | Restaurants | BG",,регистрация на домейн,Negative Phrase,
"BDS | Search | Restaurants | BG",,франчайз,Negative Phrase,
"BDS | Search | Restaurants | BG",,под наем,Negative Phrase,
"BDS | Search | Restaurants | BG",,продава се,Negative Phrase,
